# ID             RA            DEC          z      FLUX_U      FLUXERR_U   FLUX_G      FLUXERR_G   FLUX_R      FLUXERR_R   FLUX_J      FLUXERR_J   FLUX_Ks     FLUXERR_Ks  tau   Age  zHa    zabs   zLya   e_FHa   n_Name LHa F1500 L1500 WHa  n_WHa Mstar_SED     SFR_SED SFR_UV_CORR SFR_Ha_CORR ID__dup__2   zHa__dup__2 ID__dup__3   MAG_B_AB MAGERR_B_AB MAG_G_AB MAGERR_G_AB MAG_H_Vega MAGERR_H_Vega MAG_Ks_Vega MAGERR_Ks_Vega FLUX_B FLUXERR_B ID__dup__4  SFH    Age__dup__4 ehi_Age elo_Age A_V_MAG E_A_V_MAG Mstar            e_Mstar         Ref_Mstar             ehi_Mstar     elo_Mstar    MAG_V_AB ehi_MAG_V_AB elo_MAG_V_AB SFR   e_SFR Ref_SFR               ehi_SFR elo_SFR sSFR ehi_sSFR elo_sSFR ID__dup__5  MAG_F160W MAGERR_F160W FLUX_F160W            FLUXERR_F160W        
  Q1623-BX376    246.439958333 +26.78035000 2.4085 6.91831E-7  5.929663E-9 1.380384E-6 3.507761E-8 1.721869E-6 4.753681E-8 1.61671E-6  6.755571E-8 3.027344E-6 1.399883E-7 const 64   2.4085 2.4061 2.4153 7.0E-18 ""     2.4 23.55 29.27 183  ""    5.0E9         80      81          36          Q1623-BX376  2.4085      Q1623-BX376  99.99    99.99       23.43    0.01        99.99      99.99         20.83       0.09           ""     ""        Q1623-BX376 CSF    286         520     31      0.4     0.2       8.4E9            4.6E9           ForsterSchreiber+2009 4.6E9         1.0E9        -22.26   0.11         0.06         40.0  17.0  ForsterSchreiber+2009 1.0     17.0    4.8  1.1      3.0      ""          ""        ""           ""                    ""                   
  Q1623-BX428    246.451708333 +26.79450000 2.0538 3.191538E-7 5.929663E-9 8.472274E-7 3.507761E-8 9.549926E-7 4.753681E-8 3.109081E-6 6.755571E-8 3.381129E-6 1.399883E-7 50    255  2.0538 2.0514 2.0594 5.0E-18 ""     0.8 24.08 28.93 84   ""    1.10000005E10 1       7           7           ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        1.10000005E10    ""              Erb+2006              ""            ""           ""       ""           ""           1.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX429    246.452708333 +26.75401944 2.016  6.854882E-7 5.929663E-9 1.148154E-6 3.507761E-8 1.282331E-6 4.753681E-8 1.692903E-6 6.755571E-8 2.760971E-6 1.399883E-7 const 227  2.016  2.0142 ""     5.0E-18 ""     1.5 23.75 29.05 219  ""    5.0E9         23      26          19          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        5.0E9            ""              Erb+2006              ""            ""           ""       ""           ""           23.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX432    246.453041667 +26.77980000 2.1817 2.992265E-7 5.929663E-9 4.875285E-7 3.507761E-8 5.345644E-7 4.753681E-8 7.809659E-7 6.755571E-8 1.679043E-6 1.399883E-7 const 1278 2.1817 ""     ""     3.0E-18 ""     1.9 24.68 28.74 427  ""    8.0E9         6       8           20          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        8.0E9            ""              Erb+2006              ""            ""           ""       ""           ""           6.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX447    246.459875000 +26.78730000 2.1481 1.753881E-7 5.929663E-9 5.011872E-7 3.507761E-8 5.861382E-7 4.753681E-8 2.016657E-6 6.755571E-8 3.954229E-6 1.399883E-7 500   1434 2.1481 2.1478 ""     3.0E-18 ""     1.9 24.65 28.74 154  ""    4.4000002E10  5       7           20          Q1623-BX447  2.1481      Q1623-BX447  99.99    99.99       24.53    0.03        99.99      99.99         20.54       0.07           ""     ""        Q1623-BX447 tau300 509         132     55      0.8     0.2       2.1199998976E10  3.6E9           ForsterSchreiber+2009 3.6E9         4.0E8        -22.17   0.08         0.02         24.0  12.0  ForsterSchreiber+2009 12.0    8.0     1.1  0.3      0.4      ""          ""        ""           ""                    ""                   
  Q1623-BX449    246.460541667 +26.78332500 2.4188 1.958845E-7 5.929663E-9 3.435579E-7 3.507761E-8 4.130475E-7 4.753681E-8 7.881921E-7 6.755571E-8 1.892613E-6 1.399883E-7 const 2600 2.4188 ""     ""     9.0E-18 ""     1.6 25.06 28.67 196  ""    2.4E10        9       11          20          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        2.4E10           ""              Erb+2006              ""            ""           ""       ""           ""           9.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX452    246.462500000 +26.73888889 2.0595 1.690441E-7 5.929663E-9 3.872576E-7 3.507761E-8 4.655861E-7 4.753681E-8 1.395186E-6 6.755571E-8 3.917976E-6 1.399883E-7 const 3000 2.0595 2.0595 ""     4.0E-18 ""     1.4 24.93 28.6  121  ""    4.3000001E10  14      19          22          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        4.3000001E10     ""              Erb+2006              ""            ""           ""       ""           ""           14.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX453    246.461833333 +26.82538889 2.1816 4.168694E-7 5.929663E-9 1.037528E-6 3.507761E-8 1.614359E-6 4.753681E-8 4.213394E-6 6.755571E-8 8.185812E-6 1.399883E-7 const 454  2.1816 2.1724 2.1838 2.0E-18 ""     4.9 23.86 29.07 187  ""    4.9000002E10  107     123         100         ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        4.9000002E10     ""              Erb+2006              ""            ""           ""       ""           ""           107.0 ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  Q1623-BX455    246.465250000 +26.78191111 2.4074 1.419058E-7 5.929663E-9 3.162278E-7 3.507761E-8 4.365158E-7 4.753681E-8 6.801928E-7 6.755571E-8 1.559774E-6 1.399883E-7 const 15   2.4074 2.4066 ""     1.1E-17 ""     8.6 25.15 28.63 1172 m     9.0E8         58      45          169         Q1623-BX455  2.4074      Q1623-BX455  99.99    99.99       25.03    0.05        99.99      99.99         21.55       0.18           ""     ""        Q1623-BX455 CSF    1015        885     611     0.6     0.2       1.0300000256E10  5.2E9           ForsterSchreiber+2009 5.2E9         3.9E9        -21.51   0.2          0.12         15.0  10.0  ForsterSchreiber+2009 10.0    1.0     1.5  2.0      0.6      ""          ""        ""           ""                    ""                   
  Q1623-BX458    246.464916667 +26.77260833 2.4194 5.546257E-7 5.929663E-9 1.213389E-6 3.507761E-8 1.570363E-6 4.753681E-8 3.080577E-6 6.755571E-8 4.065011E-6 1.399883E-7 const 571  2.4194 2.4174 ""     5.0E-18 ""     2.0 23.69 29.21 102  ""    3.10000005E10 55      65          29          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        3.10000005E10    ""              Erb+2006              ""            ""           ""       ""           ""           55.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
