#            ID                RA              DEC         z          FLUX_U       FLUXERR_U          FLUX_G       FLUXERR_G          FLUX_R       FLUXERR_R          FLUX_J       FLUXERR_J         FLUX_Ks      FLUXERR_Ks   
    Q2343-BX461    356.6373333333    +12.802263889    2.5662    1.836538e-04    5.929663e-06    4.207266e-04    3.507761e-05    6.309573e-04    4.753681e-05    5.304349e-04    6.755571e-05    1.409489e-03    1.399883e-04   
    Q2343-BX474    356.6370000000    +12.803911111    2.2257    1.614359e-04    5.929663e-06    4.655861e-04    3.507761e-05    6.194411e-04    4.753681e-05    1.873407e-03    6.755571e-05    3.917976e-03    1.399883e-04   
    Q2343-BX480    356.5912500000    +12.804336111    2.2313    3.341950e-04    5.929663e-06    8.629785e-04    3.507761e-05    1.127197e-03    4.753681e-05    1.756435e-03    6.755571e-05    4.375843e-03    1.399883e-04   
    Q2343-BX493    356.5602500000    +12.806011111    2.3396    4.830588e-04    5.929663e-06    9.908319e-04    3.507761e-05    1.282331e-03    4.753681e-05    1.692903e-03    6.755571e-05    1.435694e-03    1.399883e-04   
    Q2343-BX513    356.5463750000    +12.808927778    2.1092    5.546257e-04    5.929663e-06    8.090959e-04    3.507761e-05    9.727472e-04    4.753681e-05    2.515545e-03    6.755571e-05    5.984967e-03    1.399883e-04   
    Q2343-BX529    356.5405000000    +12.811202778    2.1129    2.228435e-04    5.929663e-06    5.152286e-04    3.507761e-05    6.194411e-04    4.753681e-05    1.039040e-03    6.755571e-05    1.790861e-03    1.399883e-04   
    Q2343-BX537    356.6064583333    +12.812372222    2.3396    2.535129e-04    5.929663e-06    4.920395e-04    3.507761e-05    6.081350e-04    4.753681e-05    9.049656e-04    6.755571e-05    1.758174e-03    1.399883e-04   
    Q2343-BX587    356.6215833333    +12.817594444    2.2430    3.944573e-04    5.929663e-06    1.106624e-03    3.507761e-05    1.485936e-03    4.753681e-05    2.586021e-03    6.755571e-05    5.875729e-03    1.399883e-04   
    Q2343-BX599    356.5577083333    +12.819808333    2.0116    6.251727e-04    5.929663e-06    1.318257e-03    3.507761e-05    1.445440e-03    4.753681e-05    3.569703e-03    6.755571e-05    4.540062e-03    1.399883e-04   
    Q2343-BX601    356.5850000000    +12.820252778    2.3769    6.025596e-04    5.929663e-06    1.202264e-03    3.507761e-05    1.472313e-03    4.753681e-05    2.336857e-03    6.755571e-05    3.954229e-03    1.399883e-04   
    Q2343-BX610    356.5392916667    +12.822002778    2.2094    4.920395e-04    5.929663e-06    9.817479e-04    3.507761e-05    1.342765e-03    4.753681e-05    4.060991e-03    6.755571e-05    1.358507e-02    1.399883e-04   
    Q2343-BX660    356.6226250000    +12.829316667    2.1735    4.698941e-04    5.929663e-06    7.112135e-04    3.507761e-05    6.546362e-04    4.753681e-05    7.809659e-04    6.755571e-05    2.661104e-03    1.399883e-04   
     Q2343-MD59    356.6120833333    +12.794408333    2.0116    7.870458e-05    5.929663e-06    3.047895e-04    3.507761e-05    3.664376e-04    4.753681e-05    1.249200e-03    6.755571e-05    5.768485e-03    1.399883e-04   
     Q2343-MD62    356.6134583333    +12.795411111    2.1752    7.379042e-05    5.929663e-06    2.290868e-04    3.507761e-05    2.779713e-04    4.753681e-05    5.207533e-04    6.755571e-05    1.726083e-03    1.399883e-04   
     Q2343-MD80    356.5449583333    +12.809233333    2.0138    1.169499e-04    5.929663e-06    3.981072e-04    3.507761e-05    4.325138e-04    4.753681e-05    1.501869e-03    6.755571e-05    1.841034e-03    1.399883e-04   
    Q2346-BX120    357.1095833333     +0.342544444    2.2664    1.432188e-04    5.929663e-06    3.311311e-04    3.507761e-05    3.372873e-04    4.753681e-05             nan             nan             nan             nan   
    Q2346-BX220    357.1920833333     +0.372486111    1.9677    4.528976e-04    5.929663e-06    1.037528e-03    3.507761e-05    1.355189e-03    4.753681e-05             nan             nan    3.083627e-03    1.399883e-04   
    Q2346-BX244    357.0400416667     +0.376716667    1.6465    1.306171e-04    5.929663e-06    3.801894e-04    3.507761e-05    5.546257e-04    4.753681e-05             nan             nan             nan             nan   
    Q2346-BX404    357.0891666667     +0.411963889    2.0282    9.289664e-04    5.929663e-06    1.355189e-03    3.507761e-05    1.599558e-03    4.753681e-05             nan             nan    6.267030e-03    1.399883e-04   
    Q2346-BX405    357.0884166667     +0.412627778    2.0300    8.790225e-04    5.929663e-06    1.527566e-03    3.507761e-05    1.644372e-03    4.753681e-05             nan             nan    5.117546e-03    1.399883e-04   
    Q2346-BX416    357.0758750000     +0.415361111    2.2404    5.058247e-04    5.929663e-06    1.009253e-03    3.507761e-05    1.458814e-03    4.753681e-05             nan             nan    4.978079e-03    1.399883e-04   
    Q2346-BX482    357.0540416667     +0.429538889    2.2569    6.081350e-04    5.929663e-06    1.393157e-03    3.507761e-05    1.706082e-03    4.753681e-05             nan             nan             nan             nan   
    SSA22a-MD41    334.4165416667     +0.286400000    2.1713    4.325138e-04    5.929663e-06    1.445440e-03    3.507761e-05    1.721869e-03    4.753681e-05             nan             nan             nan             nan   
 Westphal-BM115    214.4065416667    +52.451505556    1.6065    8.709636e-04    5.929663e-06    1.213389e-03    3.507761e-05    1.570363e-03    4.753681e-05             nan             nan             nan             nan   
 Westphal-BX600    214.3147916667    +52.604344444    2.1607    5.754399e-04    5.929663e-06    8.790225e-04    3.507761e-05    9.638290e-04    4.753681e-05             nan             nan             nan             nan   
